cement,slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength,mix_id,age_stage
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.98611076,0,28-day
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.887365759999994,1,28-day
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.269535256000005,2,Later
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.052779992,2,Later
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.296075096,3,Later
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.029847436000004,4,Later
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.698299404,5,Later
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.447769788,5,28-day
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.854290856,4,28-day
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986,6,28-day
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243671999994,3,Later
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592,3,28-day
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026,7,Later
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.32693164,8,Later
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.813781648,9,28-day
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.908319811999995,10,Later
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.358047983999995,11,Later
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.141962252,12,Later
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.563252031999994,5,Later
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.620648416,6,Later
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.836714203999996,7,Later
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.23748958,11,28-day
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06342182,11,Early
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.207822168,11,Later
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.516697443999995,10,Later
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.300631656,10,Later
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15137506,5,Later
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.1243856,12,Later
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.427515183999994,7,28-day
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.60376124,6,Early
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.260122448,9,Later
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.908319811999995,4,Later
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.719503284,3,Later
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.131120456,6,Later
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69225402399999,8,Later
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.407950056000004,13,Later
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.079769451999997,13,28-day
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.721921436,2,Later
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.229026048,6,Later
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.251958603999995,13,Later
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.45930106,12,Later
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.698299404,7,Later
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,38.995383608,13,Later
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.104130996,10,Later
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.542997428,7,Later
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.076402024,7,Early
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.049192651999999,14,Early
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.759063216,5,Later
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.258003984,13,Early
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.823194456,5,Early
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.779317819999996,2,Later
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.931941843999994,8,Later
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.116911232,13,Later
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.185149411999994,9,Later
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.589312159999999,11,Early
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.638264955999999,3,Early
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.934619796,6,Later
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.131420144,3,Early
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.94882902,9,Later
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.019005639999996,2,28-day
